tile,idx,ra,dec,fwhm,xc_centroid,yc_centroid,ellipticity_centroid,elongation_centroid,orientation_centroid,xc_asymmetry,yc_asymmetry,ellipticity_asymmetry,elongation_asymmetry,orientation_asymmetry,flux_circ,flux_ellip,rpetro_circ,rpetro_ellip,rmax_circ,rmax_ellip,rhalf_circ,rhalf_ellip,r20,r50,r80,gini,m20,gini_m20_bulge,gini_m20_merger,sn_per_pixel,concentration,asymmetry,smoothness,substructure,multimode,intensity,deviation,rms_asymmetry2,outer_asymmetry,shape_asymmetry,aiso_22.0,aiso_22.5,aiso_23.0,aiso_23.5,aiso_24.0,aiso_24.5,aiso_25.0,aiso_25.5,aiso_26.0,sersic_amplitude,sersic_rhalf,sersic_n,sersic_xc,sersic_yc,sersic_ellip,sersic_theta,sersic_chi2_dof,sersic_aic,sersic_bic,sky_mean,sky_median,sky_sigma,xmin_stamp,ymin_stamp,xmax_stamp,ymax_stamp,nx_stamp,ny_stamp,flag,flag_sersic
000.229,2,0.1164713,24.2504795,0.54,45.98141509688828,46.367638999768054,0.22285040998757966,1.2867535579398788,-0.5317905073128256,46.074953313996474,45.75000000000233,0.2215476553582416,1.284600151676847,-0.5388410819653328,17401.47583286346,17451.877947154884,19.111373483755557,21.232601342082702,25.618660849058415,26.55837800282393,9.14874548636588,10.30677529758163,4.729631236302229,9.15511963861455,14.520473743096188,0.44419646745128255,-1.6507631005005594,-0.6172486574692639,-0.11670156819280811,128.35263,2.435767525974586,0.10542937529973494,0.6255648100518342,0.027917233951546567,0.022608695652173914,0.033793732284384426,0.021988241667513814,0.06339143378746177,0.13365437711406572,0.22294440701816437,nan,0.3389830508474576,0.39814814814814814,0.3118811881188119,0.17504051863857376,0.1431924882629108,0.0878316559926807,0.1634182908545727,0.19291338582677164,19.95405537000993,10.613187299643826,0.874196722728831,45.71137265045418,45.54851437696032,0.2661098362794361,2.5789187504753315,583.7898471408774,54562.11637921696,54611.50445509227,-0.3659574,-0.3533103,2.5817747,0,0,93,93,94,94,0,0
000.229,3,0.0204419,24.2541314,0.54,22.203836417095275,22.869136956135637,0.20721304578609845,1.261372925834234,1.1824996433385881,22.250000000745697,23.295793585504924,0.2097600602272065,1.2654384442875866,1.1881433136535802,6769.244287236157,6850.182889362346,9.427859753572129,10.779736617235672,18.191542382550796,18.6162327146508,4.530173249655958,5.167046035349438,2.2839890903714632,4.4984371379013375,7.399482778153295,0.4963049762325235,-1.7127665003491201,-0.316343182907068,-0.07373261707832951,370.8023,2.5525366929160285,0.12384850349724831,0.6723756263612092,0.014714290337389866,0.009615384615384616,0.0,0.0775330149332144,0.03645778630415127,0.17762941947004346,0.25697503196405413,nan,nan,0.5822784810126582,0.26865671641791045,0.143646408839779,0.12389380530973451,0.17940199335548174,0.24043715846994534,0.3325740318906606,28.873479307381096,5.128345687003125,1.4118600691345164,22.184093140028583,22.764796648519653,0.2714133518626078,0.5784785510689754,3037.0576002307967,16918.309462386285,16957.887246649636,-0.15278196,-0.46943128,3.0554879,0,0,47,47,48,48,0,0
000.229,5,0.0583988,24.2525104,0.54,36.65326114159599,38.17847638526262,0.16112127557019618,1.1920674239052995,-0.9059040149740556,37.750002534168274,38.249999940668765,0.15356165092970897,1.1814209518016021,-0.855643971832677,16448.56423552077,16397.895975085637,13.686899181504323,15.329428800730568,22.150057375588464,22.706114833147847,6.660386144534397,7.170030960490647,3.4422578855289,6.618046565254832,10.623872935720785,0.5071992584406908,-1.5929909288364112,-0.34542095703494713,-0.046298473251977335,428.88693,2.447197321455386,0.06603448736661592,0.23286279332676052,0.0,0.010460251046025104,0.004422428304643699,0.07767481436744932,0.022219916321060493,0.08450276073884595,0.12024816675517296,0.3181818181818182,0.373134328358209,0.14655172413793102,0.04375,0.08021390374331551,0.06466512702078522,0.056795131845841784,0.0564373897707231,0.040498442367601244,30.429748651646932,8.709305000800526,1.0515633336044103,37.836474407810634,37.29392462884352,0.3026631169482716,2.6652747958390273,4478.429774300806,30373.17750327009,30416.521621671847,-0.66660804,-0.4062559,3.2815654,0,0,77,77,78,78,0,0
000.242,3,0.06357,30.750009,0.78,49.395842007524315,48.577239341404955,0.3749663906269741,1.5999139646316056,0.7090546022760413,49.288386790156686,48.2500000000198,0.37499562234949824,1.59998879329321,0.7104938196228641,10815.914705117259,11118.665069736193,15.865782302620188,19.639081886354674,25.658876264105224,29.50945353205855,7.586237406907487,9.21288670223217,4.089929491519127,7.520991791343799,12.54879247811143,0.48576546694285677,-1.4661019522448768,-0.5394522857271595,-0.049880359088609716,109.80812,2.434430581539562,0.030554914444644504,7.6025658696840015,0.0,0.13333333333333333,0.005344406291748768,0.13529019027531528,0.01309509354396075,-0.0048494387900616335,0.2804511509157248,nan,0.23529411764705882,0.21487603305785125,0.08450704225352113,0.09467455621301775,0.14225941422594143,0.15481832543443919,0.18352941176470589,0.3219349457881568,26.80162035334125,8.796997672375602,0.6339568175541691,49.24154470541645,48.477170559551666,0.4941294130334034,0.7719514738281673,398.05494243583263,54365.23488244378,54415.031688744944,-0.025685998,-0.16569236,2.6630294,0,0,99,99,100,100,0,0
000.229,6,0.1061604,24.2518989,0.54,20.25989486370865,19.83642868953727,0.23679940101000863,1.3102715083339629,1.4774148596226573,20.25000066419862,19.25000093859716,0.24261846480717542,1.3203384998624323,1.4801724071890219,5129.55070125118,5179.011079028867,9.630567045426849,11.335708845369485,20.01561808295473,20.478926014319516,4.197004601637262,4.849990381984502,1.8206953566900397,3.9902278678745233,7.712040473595883,0.5517712730902726,-1.9258102005534328,0.10585427078037846,-0.048434057517557305,125.30276,3.134660077455498,0.02572930031613004,0.3277716157783909,0.000786622573589875,0.022988505747126436,0.0,0.02536470332530455,0.012155948839909704,-0.04287346701833792,0.3546099290780142,nan,nan,nan,0.0,0.11320754716981132,0.011428571428571429,0.12186379928315412,0.17475728155339806,0.13768115942028986,14.979274002164628,4.280715719703462,4.09398380056326,19.733488612165388,19.070822632519757,0.04893551371366782,1.5132254936977099,455.97085829088905,10555.930737056071,10594.093492711767,-0.6878933,-0.75044006,2.6844893,0,0,41,41,42,42,0,0
000.242,5,0.1729512,30.7513714,0.76,27.709065127400414,28.023724369284093,0.4440144215587336,1.7986078034677633,0.8790291257384092,27.74999482174539,28.250000024960443,0.443997643010411,1.7985535266691768,0.8815314956238868,730.1449862158779,692.1419359622685,8.22136152533286,11.215350143324889,7.786209224305185,10.817505502492182,4.0396142271942255,5.250496617671141,2.2391547597052153,4.2921781808638455,6.694653107609365,0.40944349820777026,-1.480592452473215,-0.9072041143075991,-0.1274532876680844,23.113585,2.3782198370069367,-0.16260333654988374,3.9129083786910033,0.0,0.19230769230769232,0.18123135813614175,0.16884933798722176,-0.22245113687355553,-0.16577965599193042,0.3291882657464614,nan,nan,nan,nan,nan,nan,0.3157894736842105,0.45045045045045046,0.21052631578947367,10.189168887074624,4.552341604224017,0.5013691967985385,27.08438829527536,27.635005566523485,0.5883503788837566,0.8975086213220184,160.9796115735334,11714.253213400463,11754.450027553174,-0.14290357,0.11432049,2.3023126,4,4,51,51,48,48,0,0
000.229,7,0.2193434,24.2507472,0.54,21.46777685235417,20.676050134567863,0.19771275533925203,1.2464363688380165,-1.5120761611364342,21.57030811331945,20.74999999999195,0.19737176166716608,1.245906824904558,-1.5133995417712063,2602.5024010208003,2614.035576647975,9.096283368960822,10.277795051967352,11.28385069191317,11.475103799112638,4.399699775028973,4.930175078211775,2.3445767630819336,4.4156753379406,6.884000479336705,0.4501671581948551,-1.6318932272387774,-0.6007705604589946,-0.10816767197328353,80.21574,2.338882177415792,0.0387188312897621,-0.888966060485649,0.0,0.023622047244094488,0.04262718954808241,0.09476626920494845,0.030985081041083613,0.03288694063066609,0.14628182621459576,nan,nan,nan,nan,0.33766233766233766,0.125,0.15873015873015872,0.08264462809917356,0.13680781758957655,15.564164765857827,4.376429108348171,0.8245349704889372,20.810936820907177,20.093782109879715,0.17897504765049024,1.6987479096602642,457.39511099902126,11859.921900055351,11898.896938293597,0.17746772,-0.10166137,2.4063425,0,0,43,43,44,44,0,0
000.229,23,0.2017678,24.2522178,0.54,27.039022206989436,26.807612167577382,0.2384071287408358,1.3130375003992227,-1.1691112503845282,26.521490531147002,28.027041226595248,0.2688452935552754,1.3676996006256306,-1.1691648730166042,2074.754580655641,2104.186647268015,12.023222019713735,13.22012789847916,14.132157270555837,14.776625780536117,5.101299585137277,5.767491468195229,2.7799774284873657,5.275766097046731,9.197191923180378,0.4883163812796748,-1.551598261764217,-0.4675763172630072,-0.05923894091834814,50.876,2.598069897487894,0.05783066180333374,1.6835630543007138,0.0,0.056451612903225805,0.0987406471096334,0.02786305370573027,0.1612957894129215,0.11506805057466711,0.4586901860458484,nan,nan,nan,nan,0.5116279069767442,0.43137254901960786,0.2696629213483146,0.3970037453183521,0.4041994750656168,9.513286797842712,5.39993246066609,0.9353340904475627,26.387679211930305,26.809490617090372,0.29982527667756576,2.269389102805335,513.7133865687207,18881.7883462875,18923.888696448597,-0.42698133,-0.32034314,2.4974153,0,0,55,53,56,54,0,0
000.228,6,0.0741822,23.750001,0.54,36.13619785527622,35.52009798263972,0.5276948791714622,2.117275371153625,-0.9404670962608439,37.14476549317963,36.05545278962444,0.40057942409561575,1.668277733861965,-0.9096679638312745,807.6859453792281,860.4976685864094,8.574981825573207,13.089562650611894,10.703454624373595,11.086898301524565,4.186648462930923,5.191887084966495,2.5229946556933203,4.489654630773782,7.492070124272143,0.44598380949750516,-1.2926630335431168,-0.8565646607419697,-0.06515619025996316,69.41657,2.363427515262556,-0.10984381277174804,6.223067151798502,0.0,0.38461538461538464,0.21971704320303712,0.14866471811710072,-0.42471552372256016,-0.2051874674445453,0.7058580908613973,nan,nan,nan,nan,nan,nan,0.8780487804878049,0.49019607843137253,0.45714285714285713,3.2364519173131776,7.941305458324822,1.5881050004566193,35.64467961056086,34.597081700991936,0.692893211549703,2.145100489159627,3847.787780315975,18630.841373655054,18670.89081394338,-0.1660415,-0.13302934,3.7572634,12,12,59,59,48,48,1,0
000.229,26,0.1861205,24.2526971,0.54,28.486193073518134,27.726693238004955,0.3517942869927735,1.5427201271656357,1.0683471586434041,28.45270948042488,27.74999999998874,0.3517422688105484,1.5425963345861782,1.068359550429712,9881.924226758165,9844.945007959781,10.505835440455474,12.039541427167707,15.53104169930159,17.239070557518282,4.86710864669749,5.874220037996082,2.4855542813294242,4.872257808294443,7.895845117842755,0.4509000013532867,-1.6542186193007908,-0.5816714901257827,-0.11054538674305617,256.81485,2.509876843800975,0.17482729979111392,0.17447724488666555,0.019288504056942747,0.013245033112582781,0.0,0.09169410120396355,0.0742745943888441,0.20174992313503484,0.21461359945663083,nan,0.3870967741935484,0.21052631578947367,0.10526315789473684,0.0847457627118644,0.0547945205479452,0.08695652173913043,0.08172043010752689,0.062157221206581355,49.486156463613405,5.748504065698264,0.9628998836204473,27.84972699144315,27.138444777902812,0.470802816373789,1.0044894158108189,750.9955827323553,22208.54611139676,22251.369386622024,-0.7711823,-0.506307,2.4489818,0,0,57,57,58,58,0,0
