tile,dec,ra
CFIS_LSB.004.230.r,25.0,2.2067558379249834
CFIS_LSB.004.231.r,25.5,2.215857088164933
CFIS_LSB.004.232.r,26.0,2.2252038809503776
CFIS_LSB.004.233.r,26.5,2.234800769544476
CFIS_LSB.004.234.r,27.0,2.2446524752687216
CFIS_LSB.004.235.r,27.5,2.254763893732685
CFIS_LSB.004.236.r,28.0,2.265140101378078
CFIS_LSB.004.237.r,28.5,2.2757863623546606
CFIS_LSB.004.238.r,29.0,2.28670813574664
CFIS_LSB.004.239.r,29.5,2.297911083169501
CFIS_LSB.004.240.r,30.0,2.309401076758503
CFIS_LSB.004.241.r,30.5,2.3211842075715463
CFIS_LSB.004.242.r,31.0,2.333266794430661
CFIS_LSB.004.243.r,31.5,2.345655393228018
CFIS_LSB.004.244.r,32.0,2.358356806724193
CFIS_LSB.004.245.r,32.5,2.371378094868321
CFIS_LSB.004.246.r,33.0,2.3847265856718947
CFIS_LSB.004.247.r,33.5,2.398409886670196
CFIS_LSB.004.248.r,34.0,2.412435897007811
CFIS_LSB.004.249.r,34.5,2.4268128201872945
CFIS_LSB.004.250.r,35.0,2.441549177522912
CFIS_LSB.004.251.r,35.5,2.4566538223444687
CFIS_LSB.004.252.r,36.0,2.472135954999579
CFIS_LSB.004.253.r,36.5,2.4880051387063613
CFIS_LSB.004.254.r,37.0,2.5042713163124515
CFIS_LSB.004.255.r,37.5,2.520944828020529
CFIS_LSB.005.227.r,23.5,2.7261027601449284
CFIS_LSB.005.228.r,24.0,2.7365906962651168
CFIS_LSB.005.229.r,24.5,2.7473696738673414
CFIS_LSB.005.230.r,25.0,2.7584447974062294
CFIS_LSB.005.231.r,25.5,2.769821360206166
CFIS_LSB.005.232.r,26.0,2.781504851187972
CFIS_LSB.005.233.r,26.5,2.793500961930595
CFIS_LSB.005.234.r,27.0,2.8058155940859018
CFIS_LSB.005.235.r,27.5,2.818454867165856
CFIS_LSB.005.236.r,28.0,2.8314251267225976
CFIS_LSB.005.237.r,28.5,2.8447329529433256
CFIS_LSB.005.238.r,29.0,2.8583851696833
CFIS_LSB.005.239.r,29.5,2.8723888539618767
CFIS_LSB.005.240.r,30.0,2.8867513459481287
CFIS_LSB.005.241.r,30.5,2.901480259464433
CFIS_LSB.005.242.r,31.0,2.916583493038326
CFIS_LSB.005.243.r,31.5,2.9320692415350225
CFIS_LSB.005.244.r,32.0,2.947946008405241
CFIS_LSB.005.245.r,32.5,2.9642226185854015
CFIS_LSB.005.246.r,33.0,2.9809082320898685
CFIS_LSB.005.247.r,33.5,2.998012358337745
CFIS_LSB.005.248.r,34.0,3.0155448712597637
CFIS_LSB.005.249.r,34.5,3.033516025234118
CFIS_LSB.005.250.r,35.0,3.05193647190364
CFIS_LSB.005.251.r,35.5,3.0708172779305856
CFIS_LSB.005.252.r,36.0,3.090169943749474
CFIS_LSB.005.253.r,36.5,3.110006423382952
CFIS_LSB.005.254.r,37.0,3.1303391453905642
CFIS_LSB.005.255.r,37.5,3.1511810350256613
CFIS_LSB.006.227.r,23.5,3.271323312173914
CFIS_LSB.006.228.r,24.0,3.2839088355181403
CFIS_LSB.006.229.r,24.5,3.2968436086408097
CFIS_LSB.006.230.r,25.0,3.3101337568874754
CFIS_LSB.006.231.r,25.5,3.3237856322473993
CFIS_LSB.006.232.r,26.0,3.3378058214255666
CFIS_LSB.006.233.r,26.5,3.352201154316714
CFIS_LSB.006.234.r,27.0,3.3669787129030824
CFIS_LSB.006.235.r,27.5,3.3821458405990272
CFIS_LSB.006.236.r,28.0,3.397710152067117
CFIS_LSB.006.237.r,28.5,3.4136795435319907
CFIS_LSB.006.238.r,29.0,3.4300622036199604
CFIS_LSB.006.239.r,29.5,3.446866624754252
CFIS_LSB.006.240.r,30.0,3.4641016151377544
CFIS_LSB.006.241.r,30.5,3.48177631135732
CFIS_LSB.006.242.r,31.0,3.4999001916459913
CFIS_LSB.006.243.r,31.5,3.518483089842027
CFIS_LSB.006.244.r,32.0,3.5375352100862894
CFIS_LSB.006.245.r,32.5,3.5570671423024818
CFIS_LSB.006.246.r,33.0,3.5770898785078424
CFIS_LSB.006.247.r,33.5,3.597614830005294
CFIS_LSB.006.248.r,34.0,3.6186538455117163
CFIS_LSB.006.249.r,34.5,3.6402192302809415
CFIS_LSB.006.250.r,35.0,3.662323766284368
CFIS_LSB.006.251.r,35.5,3.684980733516703
CFIS_LSB.006.252.r,36.0,3.708203932499369
CFIS_LSB.006.253.r,36.5,3.7320077080595424
CFIS_LSB.006.254.r,37.0,3.756406974468677
CFIS_LSB.006.255.r,37.5,3.7814172420307934
CFIS_LSB.007.227.r,23.5,3.8165438642028997
CFIS_LSB.007.228.r,24.0,3.831226974771164
CFIS_LSB.007.229.r,24.5,3.846317543414278
CFIS_LSB.007.230.r,25.0,3.8618227163687213
CFIS_LSB.007.231.r,25.5,3.877749904288632
CFIS_LSB.007.232.r,26.0,3.894106791663161
CFIS_LSB.007.233.r,26.5,3.910901346702833
CFIS_LSB.007.234.r,27.0,3.9281418317202625
CFIS_LSB.007.235.r,27.5,3.945836814032198
CFIS_LSB.007.236.r,28.0,3.9639951774116367
CFIS_LSB.007.237.r,28.5,3.9826261341206557
CFIS_LSB.007.238.r,29.0,4.00173923755662
CFIS_LSB.007.239.r,29.5,4.0213443955466275
CFIS_LSB.007.240.r,30.0,4.04145188432738
